date,year,month,region,industry,salary_uah
2021-02-01,2021,2,Україна,"Виробництво харчових продуктів, напоїв і тютюнових виробів",11085.0
2021-02-01,2021,2,Україна,"Постачання електроенергії, газу, пари та кондиційованого повітря",17827.0
2021-02-01,2021,2,Україна,Промисловість,13285.0
2021-02-01,2021,2,Україна,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",11066.0
2021-02-01,2021,2,Україна,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",14789.0
2021-02-01,2021,2,Україна,Будівництво,9542.0
2021-02-01,2021,2,Україна,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,12072.0
2021-02-01,2021,2,Україна,"Виробництво меблів, іншої продукції; ремонт і монтаж машин і устатковання",11764.0
2021-02-01,2021,2,Україна,"Водопостачання; каналізація, поводження з відходами",10105.0
2021-02-01,2021,2,Україна,"Транспорт, складське господарство, поштова та кур'єрська діяльність",11970.0
2021-02-01,2021,2,Україна,Інформація та телекомунікації,22470.0
2021-02-01,2021,2,Україна,"Виготовлення виробів з деревини, паперу та  поліграфічна діяльність",10223.0
2021-02-01,2021,2,Дніпропетровська,Усього,12532.0
2021-02-01,2021,2,Запорізька,Усього,12482.0
2021-02-01,2021,2,Донецька,Усього,13505.0
2021-02-01,2021,2,Україна,Діяльність у сфері адміністративного та допоміжного обслуговування,10359.0
2021-02-01,2021,2,Україна,Освіта,10672.0
2021-02-01,2021,2,Київська,Усього,12696.0
2021-02-01,2021,2,Україна,Операції з нерухомим майном,10030.0
2021-02-01,2021,2,Україна,Усього,12443.0
2021-02-01,2021,2,Україна,"Професійна, наукова та технічна діяльність",17083.0
2021-02-01,2021,2,Україна,Надання інших видів послуг,11652.0
2021-02-01,2021,2,Україна,"Мистецтво, спорт, розваги та відпочинок",11171.0
2021-02-01,2021,2,Україна,Охорона здоров'я та надання соціальної допомоги,10766.0
2021-02-01,2021,2,Івано-Франківська,Усього,10666.0
2021-02-01,2021,2,Україна,Державне управління й оборона; обов'язкове соціальне страхування,15579.0
2021-02-01,2021,2,Львівська,Усього,11089.0
2021-02-01,2021,2,Київ,Усього,18019.0
2021-02-01,2021,2,Одеська,Усього,11114.0
2021-02-01,2021,2,Харківська,Усього,10579.0
2021-02-01,2021,2,Полтавська,Усього,11446.0
2021-03-01,2021,3,Україна,Складське господарство та допоміжна діяльність у сфері транспорту,13237.0
2021-03-01,2021,3,Україна,Авіаційний транспорт,23409.0
2021-03-01,2021,3,Україна,Наземний і трубопровідний транспорт,11419.0
2021-03-01,2021,3,Україна,"Діяльність у сфері творчості, мистецтва та розваг",10436.0
2021-03-01,2021,3,Україна,Добування кам'яного та бурого вугілля,17526.0
2021-03-01,2021,3,Україна,Виробництво електричного устатковання,11085.0
2021-03-01,2021,3,Україна,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,23894.0
