"Показник","Територіальний розріз","Вид економічної діяльності","Категорія розрізу","Розріз","Періодичність","2021-M01","2021-M02","2021-M03","2021-M04","2021-M05","2021-M06","2021-M07","2021-M08","2021-M09","2021-M10","2021-M11","2021-M12","2022-M01","2022-M02","2022-M03","2022-M04","2022-M05","2022-M06","2022-M07","2022-M08","2022-M09","2022-M10","2022-M11","2022-M12","2023-M01","2023-M02","2023-M03","2023-M04","2023-M05","2023-M06","2023-M07","2023-M08","2023-M09","2023-M10","2023-M11","2023-M12","2024-M01","2024-M02","2024-M03","2024-M04","2024-M05","2024-M06","2024-M07","2024-M08","2024-M09","2024-M10","2024-M11","2024-M12","2025-M01","2025-M02","2025-M03","2025-M04","2025-M05","2025-M06","2025-M07","2025-M08","2025-M09","2025-M10","2025-M11","2025-M12","2026-M01","2026-M02","2026-M03","2026-M04","2026-M05","2026-M06"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Водний транспорт","Стать","Усього","Місячна","12604","12429","12917","13429","13736","13914","14127","14271","14389","14366","14372","14473","","","","","","","","","","","","","17528","18024","18396","","","","","","","","","","27176","26419","26292","26258","26284","25986","26335","26273","26114","25985","25793","25768","26137","24488","24418","24973","24785","24576","24597","24629","24731","25071","25015","25044","25659","25653","25838","25908","26167","26465"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Виробництво комп'ютерів, електронної та оптичної продукції","Стать","Усього","Місячна","12252","12936","13396","14156","14086","14202","14355","14435","14545","14548","14669","14997","","","","","","","","","","","","","20914","21546","22139","","","","","","","","","","27980","28754","29668","30143","30375","30763","31136","31489","31900","32391","32819","33799","36829","36777","37193","37691","37940","38473","38887","39142","39461","39728","40131","41105","36057","36308","37032","37746","38298","38875"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Поштова та кур'єрська діяльність","Стать","Усього","Місячна","7524","7480","7768","7762","7779","7927","7919","7915","8009","8038","8058","8214","","","","","","","","","","","","","9437","9491","9941","","","","","","","","","","13720","13721","14353","14661","15304","15579","15928","16116","16262","16530","16674","16901","17768","18519","18312","18537","18473","18509","18659","18656","18659","18777","18743","18759","20737","19972","19691","20075","20063","20160"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Наукові дослідження та розробки","Стать","Усього","Місячна","13333","13406","13770","13909","13968","14181","14359","14506","14643","14661","14762","15179","","","","","","","","","","","","","15818","15959","16509","","","","","","","","","","17745","18329","19119","19528","20016","20372","20644","20837","21178","21431","21730","22443","21835","22121","22652","23105","23471","23895","24235","24409","24682","24911","25124","25882","28840","29175","30248","31138","31724","32532"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Охорона здоров'я","Стать","Усього","Місячна","10786","10992","11510","11630","11651","11761","11700","11616","11516","11494","11530","11825","","","","","","","","","","","","","13408","13502","13753","","","","","","","","","","14712","15111","15488","15775","16026","16276","16645","16732","16791","16832","16864","17124","16545","16857","17220","17480","17687","17909","18250","18317","18334","18367","18435","18692","18904","19191","19594","19822","20084","20375"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Виробництво машин і устатковання, н.в.і.у.","Стать","Усього","Місячна","10852","11227","11988","12081","12145","12466","12592","12644","12835","12818","12860","13012","","","","","","","","","","","","","10710","11025","11742","","","","","","","","","","15552","16005","16482","16985","17526","17878","18212","18444","18822","19046","19306","20000","22334","22573","23350","24187","24549","24957","25329","25551","26109","26304","26434","27012","27209","27209","28072","28553","28837","29568"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Тимчасове розміщування й організація харчування","Стать","Усього","Місячна","6647","7272","7432","7320","7638","7859","8011","8244","8339","8393","8433","8543","","","","","","","","","","","","","9774","9982","10228","","","","","","","","","","13063","15235","14907","14916","15025","15124","15296","15414","15463","15569","15626","15835","16712","17696","17825","17918","18154","18428","18592","18641","18659","18826","18956","19287","22121","22512","22545","22524","22712","22782"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів","Стать","Усього","Місячна","11105","11574","12080","12379","12474","12675","12887","12960","13106","13177","13329","13572","","","","","","","","","","","","","16264","16573","17305","","","","","","","","","","21002","21226","21779","22281","22632","22980","23378","23742","24045","24395","24793","25361","29861","29907","30645","31078","31507","31885","32295","32483","32836","33162","33466","34247","41375","41549","42864","43662","44765","45743"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Переробна промисловість","Стать","Усього","Місячна","11832","11879","12349","12504","12618","12761","12927","13032","13119","13186","13254","13432","","","","","","","","","","","","","14136","14350","14872","","","","","","","","","","18598","18717","19204","19747","20089","20332","20617","20835","21242","21515","21796","22258","25371","25056","25542","25969","26290","26512","26792","26969","27186","27444","27637","28061","30580","30394","31261","31699","32121","32609"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Текстильне виробництво, виробництво одягу, шкіри, виробів зі шкіри та інших матеріалів","Стать","Усього","Місячна","7321","7716","7913","7873","7920","8093","8264","8386","8476","8564","8634","8761","","","","","","","","","","","","","10346","10492","10888","","","","","","","","","","12665","12784","12938","13154","13323","13442","13604","13762","13909","14114","14274","14455","16126","16009","16220","16262","16453","16588","16726","16851","16945","17075","17146","17259","18172","18261","18470","18566","18831","19276"
